,Sicoob Central Rondon,,,,,,,,,,,
,,,,,,,,,,,,
"Gerada por Murilo Henrique Jorge Deodati - Admin  Criado em : Feb 18, 2026 08:23 AM",,,,,,,,,,,,
Total de registros : 202,,,,,,,,,,,,
Produto,Local,Fornecedor,Tipo de produto,Associado aos ativos,Nome do ativo,Estado do ativo,Custo de Compra,Departamento,Código de barras,Usuário,Término do empréstimo,ID
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_03_4349_03.scr2008.local,In Store,-,-,-,-,-,1909
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_03_4349_04.scr2008.local,In Store,-,-,-,-,-,1782
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_03_4349_06.scr2008.local,In Store,-,-,-,-,-,1847
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_03_4349_07.scr2008.local,In Store,-,-,-,-,-,1897
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_03_4349_08.scr2008.local,In Store,-,-,-,-,-,1018
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_03_4349_09.scr2008.local,In Store,-,-,-,-,-,1875
OptiPlex 3040,SICOOB BURITIS,-,Desktop,-,sic_03_4349_16.scr2008.local,In Store,-,-,-,-,-,1890
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_03_4349_17.scr2008.local,In Store,-,-,-,-,-,1899
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_03_4349_19.scr2008.local,In Store,-,-,-,-,-,1895
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_03_4349_97.scr2008.local,In Store,-,-,-,-,-,1880
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_04_4349_00.scr2008.local,In Store,-,-,-,-,-,1839
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_04_4349_01.scr2008.local,In Store,-,-,-,-,-,1893
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_04_4349_02.scr2008.local,In Store,-,-,-,-,-,2057
OptiPlex 3060,SICOOB BURITIS,-,Desktop,-,sic_04_4349_04.scr2008.local,In Store,-,-,-,-,-,1837
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_04_4349_05.scr2008.local,In Store,-,-,-,-,-,2042
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_04_4349_12.scr2008.local,In Store,-,-,-,-,-,2048
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_04_4349_97.scr2008.local,In Store,-,-,-,-,-,1860
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_05_4349_00.scr2008.local,In Store,-,-,-,-,-,2049
Vostro 3480,SICOOB BURITIS,-,Laptop,-,sic_05_4349_02.scr2008.local,In Store,-,-,-,-,-,1901
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_05_4349_03.scr2008.local,In Store,-,-,-,-,-,1898
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_05_4349_04.scr2008.local,In Store,-,-,-,-,-,2051
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_05_4349_05.scr2008.local,In Store,-,-,-,-,-,1844
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_05_4349_06.scr2008.local,In Store,-,-,-,-,-,1328
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_05_4349_07.scr2008.local,In Store,-,-,-,-,-,1854
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_05_4349_16.scr2008.local,In Store,-,-,-,-,-,1856
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_05_4349_97.scr2008.local,In Store,-,-,-,-,-,714
Latitude 3540,SICOOB BURITIS,-,Laptop,-,sic_06_4349_00.scr2008.local,In Store,-,-,-,-,-,667
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_06_4349_03.scr2008.local,In Store,-,-,-,-,-,1274
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_06_4349_04.scr2008.local,In Store,-,-,-,-,-,1828
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_06_4349_97.scr2008.local,In Store,-,-,-,-,-,704
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_07_4349_00.scr2008.local,In Store,-,-,-,-,-,634
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_07_4349_01.scr2008.local,In Store,-,-,-,-,-,1892
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_07_4349_03.scr2008.local,In Store,-,-,-,-,-,2075
OptiPlex 3060,SICOOB BURITIS,-,Desktop,-,sic_07_4349_04.scr2008.local,In Store,-,-,-,-,-,1807
OptiPlex 3060,SICOOB BURITIS,-,Desktop,-,sic_07_4349_06.scr2008.local,In Store,-,-,-,-,-,1852
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_07_4349_97.scr2008.local,In Store,-,-,-,-,-,1588
OptiPlex 3050,SICOOB BURITIS,-,Desktop,-,sic_08_4349_04.scr2008.local,In Store,-,-,-,-,-,1906
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_08_4349_06.scr2008.local,In Store,-,-,-,-,-,717
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_08_4349_13.scr2008.local,In Store,-,-,-,-,-,1873
Vostro 3583,SICOOB BURITIS,-,Laptop,-,sic_09_4349_00.scr2008.local,In Store,-,-,-,-,-,1265
Vostro 5490,SICOOB BURITIS,-,Laptop,-,sic_09_4349_01.scr2008.local,In Store,-,-,-,-,-,787
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_09_4349_05.scr2008.local,In Store,-,-,-,-,-,1881
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_101_4349_00.scr2008.local,In Store,-,-,-,-,-,849
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_104_4349_00.scr2008.local,In Store,-,-,-,-,-,845
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_105_4349_00.scr2008.local,In Store,-,-,-,-,-,926
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_106_4349_00.scr2008.local,In Store,-,-,-,-,-,805
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_107_4349_00.scr2008.local,In Store,-,-,-,-,-,1164
Dell Pro 14 PC14250,SICOOB BURITIS,-,Laptop,-,sic_109_4349_00.scr2008.local,In Store,-,-,-,-,-,1029
