S.No,Computer Name,DNS Name,Operating System,Version
107,SIC_10_4349_06,SIC_10_4349_06.scr2008.local,Windows 11 Pro,10.0 (26200)
108,SIC_10_4349_08,SIC_10_4349_08.scr2008.local,Windows 10 Pro,10.0 (19045)
109,SIC_110_4349_00,SIC_110_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
110,SIC_111_4349_00,SIC_111_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
111,SIC_112_4349_00,SIC_112_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
112,SIC_113_4349_00,SIC_113_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
113,SIC_114_4349_00,SIC_114_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
114,SIC_11_4349_00,SIC_11_4349_00.scr2008.local,Windows 11 Pro,10.0 (22631)
115,SIC_120_4349_00,SIC_120_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
116,SIC_127_4349_00,SIC_127_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
117,SIC_12_4349_00,SIC_12_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
118,SIC_12_4349_01,SIC_12_4349_01.scr2008.local,Windows 10 Pro,10.0 (19045)
119,SIC_12_4349_06,SIC_12_4349_06.scr2008.local,Windows 11 Pro,10.0 (26200)
120,SIC_130_4349_00,SIC_130_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
121,SIC_136_4349_00,SIC_136_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
122,SIC_13_4349_00,SIC_13_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
123,SIC_13_4349_02,SIC_13_4349_02.scr2008.local,Windows 10 Pro,10.0 (19045)
124,SIC_14_4349_00,SIC_14_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
125,SIC_14_4349_02,SIC_14_4349_02.scr2008.local,Windows 11 Pro,10.0 (26200)
126,SIC_14_4349_04,SIC_14_4349_04.scr2008.local,Windows 11 Pro,10.0 (26200)
127,SIC_14_4349_06,SIC_14_4349_06.scr2008.local,Windows 10 Pro,10.0 (19045)
128,SIC_15_4349_00,SIC_15_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
129,SIC_15_4349_02,SIC_15_4349_02.scr2008.local,Windows 11 Pro,10.0 (26200)
130,SIC_15_4349_04,SIC_15_4349_04.scr2008.local,Windows 11 Pro,10.0 (22631)
131,SIC_15_4349_06,SIC_15_4349_06.scr2008.local,Windows 11 Pro,10.0 (26200)
132,SIC_16_4349_00,SIC_16_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
133,SIC_16_4349_06,SIC_16_4349_06.scr2008.local,Windows 11 Pro,10.0 (26100)
134,SIC_17_4349_00,SIC_17_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
135,SIC_17_4349_01,SIC_17_4349_01.scr2008.local,Windows 10 Pro,10.0 (19045)
136,SIC_17_4349_04,SIC_17_4349_04.scr2008.local,Windows 10 Pro,10.0 (19045)
137,SIC_17_4349_06,SIC_17_4349_06.scr2008.local,Windows 11 Pro,10.0 (26200)
138,SIC_18_4349_00,SIC_18_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
139,SIC_18_4349_02,SIC_18_4349_02.scr2008.local,Windows 10 Pro,10.0 (19045)
140,SIC_18_4349_06,SIC_18_4349_06.scr2008.local,Windows 10 Pro,10.0 (19045)
141,SIC_19_4349_00,SIC_19_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
142,SIC_19_4349_02,SIC_19_4349_02.scr2008.local,Windows 10 Pro,10.0 (19045)
143,SIC_19_4349_04,SIC_19_4349_04.scr2008.local,Windows 11 Pro,10.0 (26200)
144,SIC_19_4349_06,SIC_19_4349_06.scr2008.local,Windows 10 Pro,10.0 (19045)
145,SIC_20_4349_00,SIC_20_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
146,SIC_20_4349_04,SIC_20_4349_04.scr2008.local,Windows 10 Pro,10.0 (19045)
147,SIC_21_4349_00,SIC_21_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
148,SIC_21_4349_04,SIC_21_4349_04.scr2008.local,Windows 10 Pro,10.0 (19045)
149,SIC_22_4349_00,SIC_22_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
150,SIC_23_4349_00,SIC_23_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
151,SIC_23_4349_02,SIC_23_4349_02.scr2008.local,Windows 10 Pro,10.0 (19045)
152,SIC_24_4349_00,SIC_24_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
153,SIC_24_4349_02,SIC_24_4349_02.scr2008.local,Windows 10 Pro,10.0 (19045)
154,SIC_25_4349_00,SIC_25_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
155,SIC_25_4349_02,SIC_25_4349_02.scr2008.local,Windows 10 Pro,10.0 (19045)
156,SIC_26_4349_00,SIC_26_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
157,SIC_26_4349_02,SIC_26_4349_02.scr2008.local,Windows 10 Pro,10.0 (19045)
158,SIC_26_4349_06,SIC_26_4349_06.scr2008.local,Windows 10 Pro,10.0 (19045)
159,SIC_27_4349_00,SIC_27_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
160,SIC_27_4349_02,SIC_27_4349_02.scr2008.local,Windows 11 Pro,10.0 (26200)
161,SIC_28_4349_00,SIC_28_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
162,SIC_28_4349_02,SIC_28_4349_02.scr2008.local,Windows 11 Pro,10.0 (26200)
163,SIC_29_4349_00,SIC_29_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
164,SIC_29_4349_06,SIC_29_4349_06.scr2008.local,Windows 10 Pro,10.0 (19045)
165,SIC_30_4349_00,SIC_30_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
166,SIC_30_4349_06,SIC_30_4349_06.scr2008.local,Windows 11 Pro,10.0 (26200)
167,SIC_32_4349_00,SIC_32_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
168,SIC_33_4349_00,SIC_33_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
169,SIC_33_4349_06,SIC_33_4349_06.scr2008.local,Windows 10 Pro,10.0 (19045)
170,SIC_34_4349_06,SIC_34_4349_06.scr2008.local,Windows 11 Pro,10.0 (26200)
171,SIC_35_4349_00,SIC_35_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
172,SIC_35_4349_06,SIC_35_4349_06.scr2008.local,Windows 10 Pro,10.0 (19045)
173,SIC_36_4349_00,SIC_36_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
174,SIC_37_4349_00,SIC_37_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
175,SIC_38_4349_00,SIC_38_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
176,SIC_38_4349_06,SIC_38_4349_06.scr2008.local,Windows 11 Pro,10.0 (26200)
177,SIC_39_4349_00,SIC_39_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
178,SIC_39_4349_06,SIC_39_4349_06.scr2008.local,Windows 10 Pro,10.0 (19045)
179,SIC_40_4349_00,SIC_40_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
180,SIC_40_4349_06,SIC_40_4349_06.scr2008.local,Windows 10 Pro,10.0 (19045)
181,SIC_41_4349_00,SIC_41_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
182,SIC_41_4349_06,SIC_41_4349_06.scr2008.local,Windows 10 Pro,10.0 (19045)
183,SIC_42_4349_00,SIC_42_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
184,SIC_42_4349_06,SIC_42_4349_06.scr2008.local,Windows 11 Pro,10.0 (22631)
185,SIC_44_4349_00,SIC_44_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
186,SIC_46_4349_00,SIC_46_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
187,SIC_47_4349_00,SIC_47_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
188,SIC_48_4349_00,SIC_48_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
189,SIC_50_4349_00,SIC_50_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
190,SIC_51_4349_00,SIC_51_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
191,SIC_52_4349_00,SIC_52_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
